,title,author_name,edition_count,ebook_access,first_publish_year
84,How to Draw Harry Potter Characters Step by Step,['Jordan Parker'],1,no_ebook,2020.0
85,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Stephen S. Steil'],1,no_ebook,2021.0
86,Unofficial Math Adventures for Harry Potter Fans : Addition and Subtraction,['Amanda Brack'],1,no_ebook,2020.0
87,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1","['Brown, William L.']",1,no_ebook,2021.0
88,Dragonball Z-Doraemon-Harry Potter 3 in 1 Malbuch,['Ralph R. McCain'],1,no_ebook,2021.0
89,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Richard L. Daniel'],1,no_ebook,2021.0
90,Harry Potter Quidditch Match 2-In-1 Double-Sided 1000-Piece Puzzle,['Donald Lemke'],1,no_ebook,2023.0
91,How to Draw Hárry Pótter,['Juliet Wilson'],1,no_ebook,2021.0
92,How to Draw Harry Potter Characters Step by Step Drawing Guide,['Jordan Parker'],1,no_ebook,2020.0
93,Dragonball Z-Doraemon-Harry Potter 2 Malbuch 3 In 1,['Bertha P. Ashmore'],1,no_ebook,2021.0
94,The Pottersaurus,['Eric D. Randall'],1,no_ebook,2007.0
95,Harry Potter/Themes: String Orch:Grade1/2 Easy (Pop Beginning String Orchestra),,1,no_ebook,2002.0
96,Dragonball Z - Doraemon - Harry Potter Malbuch 3 In 1,['Deborah A. Jones'],1,no_ebook,2021.0
97,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Jessica J. Ramos'],1,no_ebook,2021.0
98,3 in 1 Malbuch Dragonball Z-Doraemon-Harry Potter,['Robert K. Dale'],1,no_ebook,2021.0
99,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Margaret K. Walker'],1,no_ebook,2021.0
